"seed","solver","best_fit"
"1","CCHIHH","55.7241"
"1","DE","55.7395"
"1","GDE","55.7019"
"2","CCHIHH","55.7053"
"2","DE","55.7278"
"2","GDE","55.7352"
"3","CCHIHH","55.7145"
"3","DE","55.7546"
"3","GDE","55.7194"
"4","CCHIHH","55.712"
"4","DE","55.7854"
"4","GDE","55.6794"
"5","CCHIHH","55.6856"
"5","DE","55.7299"
"5","GDE","55.7065"
"6","CCHIHH","55.7065"
"6","DE","55.7764"
"6","GDE","55.7019"
"7","CCHIHH","55.6979"
"7","DE","55.7703"
"7","GDE","55.7062"
"8","CCHIHH","55.7019"
"8","DE","55.7653"
"8","GDE","55.6942"
"9","CCHIHH","55.7025"
"9","DE","55.6184"
"9","GDE","55.7216"
"10","CCHIHH","55.7145"
"10","DE","55.7697"
"10","GDE","55.704"
