"solver","mode","seed","best"
"CCHIHH","base","1","55.6612"
"CCHIHH","base","2","55.6538"
"CCHIHH","base","3","55.5479"
"CCHIHH","base","4","55.6566"
"CCHIHH","base","5","55.5882"
"CCHIHH","base","6","55.6554"
"CCHIHH","base","7","55.6363"
"CCHIHH","base","8","55.6618"
"CCHIHH","base","9","55.583"
"CCHIHH","base","10","55.6384"
"CCHIHH","stable","1","55.5663"
"CCHIHH","stable","2","55.5602"
"CCHIHH","stable","3","55.5589"
"CCHIHH","stable","4","55.5583"
"CCHIHH","stable","5","55.5494"
"CCHIHH","stable","6","55.5589"
"CCHIHH","stable","7","55.5654"
"CCHIHH","stable","8","55.5476"
"CCHIHH","stable","9","55.5546"
"CCHIHH","stable","10","55.5824"
