"solver","seed","best"
"GA","1","55.7943"
"GA","2","55.8042"
"GA","3","55.8001"
"GA","4","55.8014"
"GA","5","55.7968"
"GA","6","55.7918"
"GA","7","55.8001"
"GA","8","55.8038"
"GA","9","55.79"
"GA","10","55.8075"
"DE","1","55.7395"
"DE","2","55.7278"
"DE","3","55.7546"
"DE","4","55.7854"
"DE","5","55.7299"
"DE","6","55.7764"
"DE","7","55.7703"
"DE","8","55.7653"
"DE","9","55.6184"
"DE","10","55.7697"
"GDE","1","55.7019"
"GDE","2","55.7352"
"GDE","3","55.7194"
"GDE","4","55.6794"
"GDE","5","55.7065"
"GDE","6","55.7019"
"GDE","7","55.7062"
"GDE","8","55.6942"
"GDE","9","55.7216"
"GDE","10","55.704"
"CCHIHH","1","55.6643"
"CCHIHH","2","55.6923"
"CCHIHH","3","55.7176"
"CCHIHH","4","55.6702"
"CCHIHH","5","55.7111"
"CCHIHH","6","55.6886"
"CCHIHH","7","55.6729"
"CCHIHH","8","55.6896"
"CCHIHH","9","55.7364"
"CCHIHH","10","55.6732"
