folder,algo,n,W_plus,W_minus,p_two_sided,p_one_sided_less,p_one_sided_greater
gen10000_seed1_10_T200_E100_D300,CCHIHH_base,10,21.0,34.0,0.556640625,0.2783203125,0.75390625
gen10000_seed1_10_T200_E100_D300,DE,10,55.0,0,0.001953125,1.0,0.0009765625
gen10000_seed1_10_T200_E100_D300,GA,10,55.0,0,0.001953125,1.0,0.0009765625
gen10000_seed1_10_T200_E100_D300,GDE,10,35.0,20.0,0.4921875,0.7841796875,0.24609375
gen10000_seed1_10_T300_E150_D500,CCHIHH_base,10,37.0,18.0,0.375,0.8388671875,0.1875
gen10000_seed1_10_T300_E150_D500,DE,10,55.0,0,0.001953125,1.0,0.0009765625
gen10000_seed1_10_T300_E150_D500,GA,10,55.0,0,0.001953125,1.0,0.0009765625
gen10000_seed1_10_T300_E150_D500,GDE,10,44.0,11.0,0.10546875,0.9580078125,0.052734375
gen10000_seed1_10_T500_E200_D800,CCHIHH_base,10,45.0,10.0,0.083984375,0.9677734375,0.0419921875
gen10000_seed1_10_T500_E200_D800,DE,10,55.0,0,0.001953125,1.0,0.0009765625
gen10000_seed1_10_T500_E200_D800,GA,10,55.0,0,0.001953125,1.0,0.0009765625
gen10000_seed1_10_T500_E200_D800,GDE,10,51.0,4.0,0.013671875,0.9951171875,0.0068359375
gen10000_seed1_10_T50_E50_D150,CCHIHH_base,10,14.0,41.0,0.193359375,0.0966796875,0.919921875
gen10000_seed1_10_T50_E50_D150,DE,10,55.0,0,0.001953125,1.0,0.0009765625
gen10000_seed1_10_T50_E50_D150,GA,10,55.0,0,0.001953125,1.0,0.0009765625
gen10000_seed1_10_T50_E50_D150,GDE,10,52.0,3.0,0.009765625,0.9970703125,0.0048828125
